Round,Home,Away,HS,AS,Venue,Date
1,York Knights,Hull KR,19,18,York Community Stadium,"12 February 2026, 20:00"
1,Catalans Dragons,Huddersfield Giants,26,10,Stade Gilbert Brutus,"13 February 2026, 18:00"
1,Warrington Wolves,St Helens R.F.C.,24,14,Halliwell Jones Stadium,"13 February 2026, 20:00"
1,Leigh Leopards,Leeds Rhinos,26,14,Leigh Sports Village,
1,Hull F.C.,Bradford Bulls,27,20,MKM Stadium,"14 February 2026, 17:30"
1,Wakefield Trinity,Toulouse Olympique,16,18,Belle Vue (Wakefield),"14 February 2026, 20:00"
1,Castleford Tigers,Wigan Warriors,16,26,OneBore Stadium,"15 February 2026, 15:00"
2,Bradford Bulls,Catalans Dragons,28,10,Odsal Stadium,"20 February 2026, 20:00"
2,Leeds Rhinos,York Knights,46,14,Headingley Rugby Stadium,
2,St Helens R.F.C.,Leigh Leopards,20,18,BrewDog Stadium,
2,Toulouse Olympique,Castleford Tigers,24,12,Stade Ernest-Wallon,"21 February 2026, 18:00"
2,Wigan Warriors,Hull F.C.,34,6,Brick Community Stadium,21 February 2026 20:00
2,Huddersfield Giants,Wakefield Trinity,16,18,Accu Stadium,22 February 2026 15:00
3,Wigan Warriors,Leigh Leopards,54,0,Brick Community Stadium,"26 February 2026, 20:00"
3,Castleford Tigers,Huddersfield Giants,34,8,OneBore Stadium,"27 February 2026, 20:00"
3,Hull F.C.,York Knights,16,17,MKM Stadium,
3,Warrington Wolves,Wakefield Trinity,27,12,Halliwell Jones Stadium,"28 February 2026, 17:30"
3,Catalans Dragons,St Helens R.F.C.,4,36,Stade Gilbert Brutus,"28 February 2026, 18:00"
3,Hull KR,Leeds Rhinos,6,58,Pacific Time Zone,"1 March 2026, 00:00 GMT (28 February 2026, 16:00 PST)"
3,Bradford Bulls,Toulouse Olympique,18,6,Odsal Stadium,"1 March 2026, 15:00"
4,Wakefield Trinity,Hull F.C.,14,10,Belle Vue (Wakefield),"5 March 2026, 20:00"
4,York Knights,Warrington Wolves,30,38,York Community Stadium,"6 March 2026, 20:00"
4,Leigh Leopards,Catalans Dragons,16,22,Leigh Sports Village,
4,Toulouse Olympique,Wigan Warriors,16,36,Stade Ernest Wallon,"7 March 2026, 17:00"
4,St Helens R.F.C.,Bradford Bulls,26,22,BrewDog Stadium,"7 March 2026, 17:30"
4,Leeds Rhinos,Castleford Tigers,22,4,Headingley Rugby Stadium,"8 March 2026, 15:00"
4,Huddersfield Giants,Hull KR,6,32,Accu Stadium,
5,Wigan Warriors,York Knights,23,22,Brick Community Stadium,"19 March 2026, 20:00"
5,Toulouse Olympique,St Helens R.F.C.,16,30,Stade Ernest Wallon,"20 March 2026, 18:00"
5,Wakefield Trinity,Leigh Leopards,18,14,Belle Vue (Wakefield),"20 March 2026, 20:00"
5,Bradford Bulls,Huddersfield Giants,26,14,Odsal Stadium,
5,Warrington Wolves,Castleford Tigers,72,6,Halliwell Jones Stadium,"21 March 2026, 15:00"
5,Catalans Dragons,Hull Kingston Rovers,26,20,Stade Gilbert Brutus,"21 March 2026, 17:30"
5,Hull F.C.,Leeds Rhinos,24,16,MKM Stadium,"22 March 2026, 15:00"
6,Castleford Tigers,Bradford Bulls,40,28,OneBore Stadium,"26 March 2026, 20:00"
6,Hull KR,St Helens R.F.C.,52,10,"Craven Park, Hull","27 March 2026, 20:00"
6,York Knights,Wakefield Trinity,14,26,York Community Stadium,
6,Wigan Warriors,Huddersfield Giants,16,34,Brick Community Stadium,"28 March 2026, 15:00"
6,Leigh Leopards,Toulouse Olympique,21,20,Leigh Sports Village,"28 March 2026, 17:30"
6,Hull F.C.,Catalans Dragons,24,20,MKM Stadium,"29 March 2026, 15:00"
6,Leeds Rhinos,Warrington Wolves,26,22,Headingley Rugby Stadium,"29 March 2026, 17:30"
7,Hull KR,Hull F.C.,24,6,"Craven Park, Hull","3 April 2026, 12:30"
7,St Helens R.F.C.,Wigan Warriors,34,24,BrewDog Stadium,"3 April 2026, 15:00"
7,Bradford Bulls,Leeds Rhinos,12,24,Odsal Stadium,"3 April 2026, 20:00"
7,Huddersfield Giants,York Knights,34,14,Accu Stadium,"4 April 2026, 15:00"
7,Warrington Wolves,Leigh Leopards,42,6,Halliwell Jones Stadium,
7,Catalans Dragons,Toulouse Olympique,33,26,Stade Gilbert Brutus,"4 April 2026, 18:00"
7,Castleford Tigers,Wakefield Trinity,0,34,OneBore Stadium,"5 April 2026, 15:00"
8,Hull F.C.,St Helens R.F.C.,14,24,MKM Stadium,"16 April 2026, 20:00"
8,Toulouse Olympique,Hull Kingston Rovers,0,46,Stade Ernest Wallon,"17 April 2026, 18:30"
8,Huddersfield Giants,Leeds Rhinos,22,56,Accu Stadium,"17 April 2026, 20:00"
8,York Knights,Leigh Leopards,6,18,York Community Stadium,
8,Wakefield Trinity,Bradford Bulls,52,12,DIY Kitchens Stadium,"18 April 2026, 15:00"
8,Catalans Dragons,Warrington Wolves,38,22,Stade Gilbert Brutus,"18 April 2026, 18:00"
8,Wigan Warriors,Castleford Tigers,14,24,Brick Community Stadium,"19 April 2026, 15:00"
9,York Knights,Toulouse Olympique,38,14,York Community Stadium,"23 April 2026, 20:00"
9,Leigh Leopards,Huddersfield Giants,30,16,Leigh Sports Village,
9,Leeds Rhinos,Catalans Dragons,46,4,Headingley Rugby Stadium,"24 April 2026, 20:00"
9,Warrington Wolves,Wigan Warriors,23,6,Halliwell Jones Stadium,
9,Castleford Tigers,Hull F.C.,10,50,OneBore Stadium,
9,Bradford Bulls,Hull KR,12,48,Odsal Stadium,"25 April 2026, 15:00"
9,St Helens R.F.C.,Wakefield Trinity,18,12,BrewDog Stadium,"25 April 2026, 17:30"
10,Hull KR,Castleford Tigers,50,6,"Craven Park, Hull","30 April 2026, 20:00"
10,Leeds Rhinos,Wakefield Trinity,40,22,Headingley Rugby Stadium,"1 May 2026, 20:00"
10,St Helens R.F.C.,York Knights,40,16,BrewDog Stadium,
10,Wigan Warriors,Bradford Bulls,38,14,Brick Community Stadium,"2 May 2026, 15:00"
10,Catalans Dragons,Leigh Leopards,18,33,Stade Gilbert Brutus,"2 May 2026, 18:00"
10,Huddersfield Giants,Warrington Wolves,4,34,Accu Stadium,"2 May 2026, 20:00"
10,Hull F.C.,Toulouse Olympique,4,12,MKM Stadium,"3 May 2026, 15:00"
11,Huddersfield Giants,St Helens R.F.C.,18,26,Accu Stadium,"14 May 2026, 20:00"
11,Wigan Warriors,Leeds Rhinos,24,4,Brick Community Stadium,"15 May 2026, 20:00"
11,Wakefield Trinity,Catalans Dragons,58,10,Belle Vue (Wakefield),
11,York Knights,Castleford Tigers,18,24,York Community Stadium,"16 May 2026, 15:00"
11,Leigh Leopards,Hull KR,16,20,Leigh Sports Village,"16 May 2026, 17:30"
11,Toulouse Olympique,Warrington Wolves,16,24,Stade Michel Bendichou,"16 May 2026, 18:00"
11,Bradford Bulls,Hull F.C.,16,14,Odsal Stadium,"17 May 2026, 15:00"
12,Hull KR,Wigan Warriors,62,4,"Craven Park, Hull","21 May 2026, 20:00"
12,Leigh Leopards,Hull F.C.,42,6,Leigh Sports Village,"22 May 2026, 20:00"
12,Leeds Rhinos,Huddersfield Giants,52,0,Headingley Rugby Stadium,
12,Castleford Tigers,St Helens R.F.C.,30,10,OneBore Stadium,"23 May 2026, 15:00"
12,Toulouse Olympique,Wakefield Trinity,18,22,Stade Ernest Wallon,"23 May 2026, 18:00"
12,York Knights,Catalans Dragons,22,36,York Community Stadium,"23 May 2026, 20:00"
12,Warrington Wolves,Bradford Bulls,26,12,Halliwell Jones Stadium,"24 May 2026, 15:00"
13,Leeds Rhinos,St Helens R.F.C.,24,16,Headingley Rugby Stadium,"4 June 2026, 20:00"
13,Warrington Wolves,Hull F.C.,12,4,Halliwell Jones Stadium,"5 June 2026, 20:00"
13,Bradford Bulls,York Knights,30,20,Odsal Stadium,
13,Castleford Tigers,Leigh Leopards,14,24,OneBore Stadium,
